"","id","original","queries"
"0","0","The economic impact of Atlanta's 2000 Super Bowl was $292 million.","economic impact atlanta super bowl million atlanta sports council The economic impact was $292 million"
"1","1","Swabbing ticks with liquid soap is a recommended and effective method for removing them.","swabbing ticks liquid soap recommended effective method removing  Swabbing ticks is a recommended and effective method  Swabbing ticks is a recommended and effective method"
"2","2","""Senator McCain voted against the Bush tax cuts. Now he's for them.""","senator mccain voted bush tax cuts mitt romney Mitt Romney voted the Bush tax cuts he 's them"
"3","3","""(McCain) said he was opposed to overturning Roe v. Wade. Now he's for overturning Roe v. Wade.""","mccain said opposed overturning roe wade overturning roe wade mitt romney Mitt Romney said opposed he was opposed opposed he 's overturning Roe"
"4","4","""When I was mayor of New York City, I encouraged adoptions. Adoptions went up 65-70 percent. Abortions went down 16 percent.""","mayor new york city encouraged adoptions adoptions went 65-70 percent abortions went percent rudy giuliani I was mayor I encouraged adoptions Adoptions went None Abortions went None"
"5","5","English ""is our national language...if it becomes official, that means in a place like New York City you can't print ballots in any other language.""","english national language ... becomes official means place like new york city n't print ballots language hillary clinton Hillary Clinton English is our national language it becomes official that means our national language you can't print ballots"
"6","6","""I'm for a three-state political solution in Iraq. (Romney) is not.""","three-state political solution iraq romney sam brownback I 'm a three-state political solution Romney is None"
"7","7","""In 1972, we had a 179,000 human beings in jail in this country. Today, it's 2.3-million, and 70 percent of them are black, African-American.""","179,000 human beings jail country today 2.3-million percent black african-american mike gravel Mike Gravel had a 179,000 human beings we had a 179,000 human beings it 's 2.3-million 70 percent are African-American"
"8","8","""The $2.3-billion budget deficit I inherited when I came into office became a $2.9-billion surplus.""","2.3-billion budget deficit inherited came office became 2.9-billion surplus rudy giuliani The $2.3-billion budget deficit became a $2.9-billion surplus I inherited office I came office"
"9","9","""The president is brain-dead.""","president brain-dead joe biden The president is dead"
"10","10","""At least Obama didn't marry his cousin,"" as Giuliani did.","least obama n't marry cousin giuliani obama girl Obama Girl didn't marry his cousin Obama didn't marry his cousin Giuliani did None"
"11","11","Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.","hillary clinton setting deadline withdrawal wants precipitous withdrawal regardless conditions ground consequences defeat united states rnc radio republican national committee Republican National Committee Hillary Clinton was a ""precipitous withdrawal she wants a ""precipitous withdrawal"
"12","12","""In state after state, polls make clear that the American public understands the Kelo ruling is a disaster.""","state state polls make clear american public understands kelo ruling disaster john mccain John McCain make state polls make state the American public understands None understands make state the Kelo ruling is a disaster"
"13","13","""... study after study has shown that the death penalty deters murders.""","... study study shown death penalty deters murders fred thompson study has shown None study has shown None the death penalty deters None deters has shown None"
"14","14","""He's leading by example, refusing contributions from PACs and Washington lobbyists.""","leading example refusing contributions pacs washington lobbyists barack obama He 's leading example"
"15","15","We live in ""a time of historically low violent crime rates and historically high gun ownership rates nationally.""","live time historically low violent crime rates historically high gun ownership rates nationally fred thompson We live a time"
"16","16","""I'm pro-life. He's not.""","pro-life sam brownback I 'm life He 's None"
"17","17","Sen. Clinton said ""the surge of troops in Iraq was 'working.' Now.... Sen. Clinton says the surge 'has failed' and that we should 'begin the immediate withdrawal of U.S. troops.'""","sen. clinton said surge troops iraq 'working ... sen. clinton says surge 'has failed 'begin immediate withdrawal u.s troops john mccain John McCain Sen. Clinton said troops the surge was troops Sen. Clinton says the immediate withdrawal the surge has failed the immediate withdrawal we begin the immediate withdrawal"
"18","18","Poor people go to a ""payday lender...and they pay 300, 400, 500 percent interest.""","poor people payday lender ... pay percent interest john edwards Poor people go a ""payday lender they pay 300"
"19","19","In countries that allow gay marriage, the rates of heterosexual marriage ""have plummeted to where you have counties now in northern Europe where 80 percent of the first-born children are born out of wedlock.""","countries allow gay marriage rates heterosexual marriage plummeted counties northern europe percent first-born children born wedlock sam brownback that allow gay marriage the rates have plummeted countries you have counties 80 percent are born the first-born children"
"20","20","""Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance.""","bill richardson passed first law nation giving national guard soldiers 400,000 life insurance bill richardson Bill Richardson passed the first law"
"21","21","""The Alternative Minimum Tax...was created by Congress in 1969 to affect 155 wealthy Americans. Because it was never indexed for inflation, those original 155 taxpayers has increased to affect about 3.5-million in 2006.""","alternative minimum tax ... created congress affect wealthy americans never indexed inflation original taxpayers increased affect 3.5-million rudy giuliani Rudy Giuliani was created Congress by was created Congress it was never indexed inflation those original 155 taxpayers has increased to about 3.5-million"
"22","22","""During his tenure in Washington and in the Illinois State Senate, Barack Obama has accumulated a record of bipartisan success.""","tenure washington illinois state senate barack obama accumulated record bipartisan success barack obama Barack Obama has accumulated a record"
"23","23","""I've cast a couple of 99-1 votes"" and been the lone dissenter.","'ve cast couple 99-1 votes lone dissenter fred thompson I 've cast a couple"
"24","24","""Joe Biden is the only candidate with a plan to get us out of Iraq and keep us out.""","joe biden candidate plan get iraq keep joe biden Joe Biden is the only candidate"
"25","25","""I don't think that Rudy or Fred or John McCain support the marriage amendment.""","n't think rudy fred john mccain support marriage amendment mitt romney Mitt Romney don't think the marriage amendment I don't think the marriage amendment Rudy support the marriage amendment"
"26","26","""The Clintons now charge the Secret Service $10,000 monthly rent for the use of (a) Secret Service residence and that rent is just about equal to their mortgage payment.""","clintons charge secret service 10,000 monthly rent use secret service residence rent equal mortgage payment chain email The Clintons now charge $10,000 monthly rent that rent is equal"
"27","27","Health insurance premiums ""have almost doubled ... since 2000.""","health insurance premiums almost doubled ... since hillary clinton Hillary Clinton Health insurance premiums have almost doubled 2000"
"28","28","""I'm probably one of the four or five best-known Americans in the world.""","probably one four five best-known americans world rudy giuliani I 'm one"
"29","29","""Rural schools enroll 40 percent of American children, but receive only 22 percent of federal education funding.""","rural schools enroll percent american children receive percent federal education funding john edwards John Edwards ""Rural schools enroll 40 percent"
"30","30","""The Republican governor who stood up and cut spending instead of raising taxes.""","republican governor stood cut spending instead raising taxes mitt romney who stood spending"
"31","31","""He's sued gun manufacturers. He was supportive of Brady. He was supportive of things like assault weapon bans.""","sued gun manufacturers supportive brady supportive things like assault weapon bans mike huckabee He 's sued gun manufacturers He was supportive He was supportive"
"32","32","""Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely.""","bill richardson major democratic candidate plan withdraw american troops iraq major democratic candidates support leaving american troops iraq indefinitely bill richardson Bill Richardson is the only major Democratic candidate All support leaving American troops"
"33","33","""I was the first presidential candidate to lay out a specific, truly universal health care plan.""","first presidential candidate lay specific truly universal health care plan john edwards I was the first presidential candidate"
"34","34","""Obama was enrolled in a Wahabi school in Jakarta. Wahabism is the RADICAL teaching that is followed by the Muslim terrorists who are now waging Jihad against the western world.""","obama enrolled wahabi school jakarta wahabism radical teaching followed muslim terrorists waging jihad western world chain email Chain email was enrolled a Wahabi school Obama was enrolled a Wahabi school Wahabism is the RADICAL teaching that is followed the Muslim terrorists by is followed the Muslim terrorists who are now waging Jihad"
"35","35","""One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.""","one man opposed flawed strategy iraq one man courage call change one man n't play politics truth john mccain One man opposed a flawed strategy One man had the courage One man didn't play politics"
"36","36","""McCain Trying to Have it Both Ways on Iraq""","mccain trying ways iraq democratic national committee"
"37","37","""Hillary stood up for universal health care when almost no one else would, and kept standing till 6-million kids had coverage.""","hillary stood universal health care almost one else would kept standing till 6-million kids coverage hillary clinton Hillary Clinton ""Hillary stood universal health care almost no one else would None 6-million kids had coverage"
"38","38","""Mitt Romney opposed the gun lobby, even Ronald Reagan.""","mitt romney opposed gun lobby even ronald reagan log cabin republicans Mitt Romney opposed the gun lobby"
"39","39","""She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.""","stood ground zero workers sacrificed health many sacrificed lives kept standing till administration took action hillary clinton She stood ground zero workers who sacrificed their health many sacrificed their lives this administration took action"
"40","40","""Going to public financing really disadvantages Democrats because you're not able to raise funds between the day you win the primaries and the time you're officially nominated.""","going public financing really disadvantages democrats 're able raise funds day win primaries time 're officially nominated bill richardson Bill Richardson Going public financing Going really disadvantages Democrats you 're able you win the primaries you 're officially nominated None"
"41","41","""Mayor Giuliani's lawsuit killed the line-item veto.""","mayor giuliani lawsuit killed line-item veto mitt romney Mitt Romney ""Mayor Giuliani's lawsuit killed the line-item veto"
"42","42","""John McCain is right on that one. The line-item veto is the best tool the president has to rein in excessive spending.""","john mccain right one line-item veto best tool president rein excessive spending mitt romney Mitt Romney is one The line-item veto is the best tool the president has to rein excessive spending"
"43","43","""For every single illegal immigrant family in this country, it costs $20,000 — it costs us $20,000; $20,000 in infrastructural costs. They pay about $10,000 in taxes.""","every single illegal immigrant family country costs 20,000 costs 20,000 20,000 infrastructural costs pay 10,000 taxes tom tancredo Tom Tancredo costs 20,000 it costs 20,000 it costs 20,000 They pay about $10,000"
"44","44","""The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.""","iraq study group reported saddam hussein designs reviving nuclear program fred thompson The Iraq Study Group reported designs (Saddam Hussein had designs"
"45","45","""The estate tax, which came into being by Republicans like Teddy Roosevelt and others ... is there for a real simple reason: In America, we've never liked the idea of massive inherited wealth.""","estate tax came republicans like teddy roosevelt others ... real simple reason america 've never liked idea massive inherited wealth hillary clinton Hillary Clinton is a real simple reason which came Republicans we 've never liked the idea"
"46","46","The form students fill out to get college financial aid is ""longer than the form to get U.S. citizenship.""","form students fill get college financial aid longer form get u.s citizenship bill richardson students fill U.S. citizenship college financial aid is U.S. citizenship"
"47","47","""Americans spend 100-million hours a year filling out these forms (FAFSA). That is the equivalent of 55,500 full-time jobs.""","americans spend 100-million hours year filling forms fafsa equivalent 55,500 full-time jobs hillary clinton Hillary Clinton ""Americans spend 100-million hours That is the equivalent"
"48","48","""First, he said he would take all of our troops out in six months, and now he acknowledges it would take a year.""","first said would take troops six months acknowledges would take year joe biden Joe Biden said all he said all he would take all he acknowledges None it would take None"
"49","49","""First, he was in favor of my plan, now he's attacking it.""","first favor plan attacking joe biden Joe Biden was favor he was favor he 's attacking it"
"50","50","Clinton ""refused repeated requests to meet with the Gold Star Mothers.""","clinton refused repeated requests meet gold star mothers chain email Chain email Clinton refused repeated repeated requests"
"51","51","The signers of the Declaration of Independence were ""brave people, most of whom, by the way, were clergymen.""","signers declaration independence brave people way clergymen mike huckabee The signers were brave people clergymen were None"
"52","52","Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""","thompson voted 250,000 caps damages almost anything would make legal system fairer rudy giuliani Rudy Giuliani Thompson voted $250,000 caps that would make None"
"53","53","Obama spokesman Bill Burton says Clinton gave Bush ""a blank check on a critical foreign policy issue.""","obama spokesman bill burton says clinton gave bush blank check critical foreign policy issue barack obama Barack Obama Obama spokesman Bill Burton says a blank check Clinton gave a blank check"
"54","54","""I supported tort reform with regard to securities...product liability...interstate commerce.""","supported tort reform regard securities ... product liability ... interstate commerce fred thompson I supported tort reform"
"55","55","He received ""A"" ratings from ""every conservative organization that gives ratings.""","received ratings every conservative organization gives ratings tom tancredo He received ""A"" ratings that gives ratings"
"56","56","""All of the records, as far as I know, about what we did with health care, those are already available.""","records far know health care already available hillary clinton I know None we did what those are available"
"57","57","""The fact of the matter is that my colleague from New York, Senator Clinton, there are 50 percent of the American public that say they're not going to vote for her.""","fact matter colleague new york senator clinton percent american public say 're going vote chris dodd Chris Dodd is 50 percent The fact is 50 percent there are 50 percent that say her they 're not going to her"
"58","58","""It's just outrageous that under President Bush, the National Institutes of Health have been basically decreased in funding.""","outrageous president bush national institutes health basically decreased funding hillary clinton It 's outrageous the National Institutes have been basically decreased President Bush"
"59","59","""Here's a man who brags about how he made the city safe. It was the Biden crime bill that became the Clinton crime bill that allowed him to do that.""","man brags made city safe biden crime bill became clinton crime bill allowed joe biden a man 's None who brags None he made None the city made None It was the Biden crime bill that became the Clinton crime bill that allowed that him do that"
"60","60","Clinton has ""raised the most money from Washington lobbyists ... from the health industry, drug companies, health insurance companies (and) the defense industry.""","clinton raised money washington lobbyists ... health industry drug companies health insurance companies defense industry john edwards John Edwards Clinton raised the most money"
"61","61","""I had prostate cancer, five, six years ago. My chance of surviving prostate cancer, and thank God I was cured of it, in the United States, 82%. My chances of surviving prostate cancer in England, only 44% under socialized medicine.""","prostate cancer five six years ago chance surviving prostate cancer thank god cured united states chances surviving prostate cancer england socialized medicine rudy giuliani I had prostate cancer I was cured it"
"62","62","""My husband has not withheld a single document.""","husband withheld single document hillary clinton My husband has not withheld a single document"
"63","63","Huckabee ""was one of the highest taxing governors that we had in this country and rivaling Bill Clinton in terms of the Cato ratings.""","huckabee one highest taxing governors country rivaling bill clinton terms cato ratings fred thompson Fred Thompson Huckabee was one we had that"
"64","64","""He's a good man but he's a pro-life liberal. He's right on the pro-life part, but he's a liberal.""","good man pro-life liberal right pro-life part liberal fred thompson He 's a good man he 's a pro-life liberal He 's the pro-life part he 's a liberal"
"65","65","""John wasn't this raging populist four years ago"" when he ran for president.","john n't raging populist four years ago ran president barack obama John was populist he ran president"
"66","66","Obama ""refused to not only put his hand on his heart during the Pledge of Allegiance, but refused to say the pledge.""","obama refused put hand heart pledge allegiance refused say pledge chain email Chain email Obama refused to not his hand"
"67","67","""Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.""","right employer chance getting hit lightning prosecuted hiring undocumented worker change barack obama Barack Obama has more an employer has more by getting hit lightning That has to change None"
"68","68","""Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.""","sixty-five percent iraqi people say okay shoot american soldier bill richardson Bill Richardson now say okay it 's okay"
"69","69","""Fred's never had a 100 percent record on right-to-life in his Senate career. The records reflect that. And he doesn't support the human life amendment, which is most amazing because that's been a part of the Republican platform since 1980.""","fred never percent record right-to-life senate career records reflect n't support human life amendment amazing part republican platform since mike huckabee ""Fred never had a 100 percent record The records reflect that he doesn't support the human life amendment which is amazing that been a part"
"70","70","""Thanks to President Bush's policies....The income gap is now higher than at any time since the Great Depression.""","thanks president bush policies ... .the income gap higher time since great depression hillary clinton The income gap is higher"
"71","71","""I spend a lot of time in Iowa, and believe it or not, in Ottumwa, Iowa, this is the heartland, the newspaper, the regular newspaper for Ottumwa, Iowa, is (a) bilingual newspaper.""","spend lot time iowa believe ottumwa iowa heartland newspaper regular newspaper ottumwa iowa bilingual newspaper tom tancredo I spend a lot this is the heartland"
"72","72","""A ham and cheese sandwich on one slice of bread is the responsibility of the USDA ... But a ham and cheese sandwich on two slices of bread is the responsibility of the Food and Drug Administration.""","ham cheese sandwich one slice bread responsibility usda ... ham cheese sandwich two slices bread responsibility food drug administration hillary clinton Hillary Clinton is the responsibility a ham and cheese sandwich is the responsibility"
"73","73","""Murder went up"" when Romney was governor. ""Robbery went up. Violent crimes went up.""","murder went romney governor robbery went violent crimes went rudy giuliani Rudy Giuliani ""Murder went governor Romney was governor Robbery went None Violent crimes went None"
"74","74","""The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.""","truth matter administration fbi crime statistics show violent crime reduced massachusetts percent mitt romney The truth is the matter the FBI's crime statistics show my administration violent crime was reduced Massachusetts"
"75","75","""If Sen. Hillary Clinton could enact all of her campaign proposals, taxpayers would be faced with financing more than $777.6-billion in new spending over one White House term.""","sen. hillary clinton could enact campaign proposals taxpayers would faced financing 777.6-billion new spending one white house term republican national committee Sen. Hillary Clinton could enact all taxpayers would be faced all"
"76","76","""The oddest thing is he doesn't want to do for America what he did for Massachusetts. He did mandate health care for Massachusetts, which is HillaryCare, and he doesn't want to do that for America.""","oddest thing n't want america massachusetts mandate health care massachusetts hillarycare n't want america rudy giuliani The oddest thing is America he doesn't want to America he did what He did mandate health care which is HillaryCare he doesn't want to that"
"77","77","""Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion.""","hillary baby bond proposal would give 5,000 4-million babies born u.s. year totaling 20-billion per year multiplied four years 80-billion republican national committee Republican National Committee ""Hillary's baby bond proposal would give 5,000"
"78","78","""Senator Obama's relatives and friends say he has been talking about running for president for at least the last 15 years,"" a campaign spokesman said.","senator obama relatives friends say talking running president least last years campaign spokesman said hillary clinton Senator Obama's relatives say president he has been talking president a campaign spokesman said president"
"79","79","Huckabee supported ""a tuition break to the children of illegals that are here illegally when citizens are having to pay a higher rate.""","huckabee supported tuition break children illegals illegally citizens pay higher rate mitt romney Mitt Romney Huckabee supported a tuition break that are a higher rate citizens are having to a higher rate"
"80","80","""Productivity has risen 18 percent ...yet wages have stayed flat... There are 5-million more people in poverty here in our country than there were in 2000.""","productivity risen percent ... yet wages stayed flat ... 5-million people poverty country hillary clinton Hillary Clinton ""Productivity has risen None wages have stayed flat There are 5-million more people there were 2000"
"81","81","""I saw my father march with Martin Luther King.""","saw father march martin luther king mitt romney I saw Martin Luther King my father saw Martin Luther King"
"82","82","An anonymous e-mail says that Hillary Clinton advocates communism.","anonymous e-mail says hillary clinton advocates communism chain email An anonymous e-mail says communism Hillary Clinton advocates communism"
"83","83","""Five percent of Americans pay over half the income taxes in this country. Forty percent of Americans pay no income taxes at all.""","five percent americans pay half income taxes country forty percent americans pay income taxes fred thompson Fred Thompson pay over half the income taxes Five percent pay over half the income taxes Forty percent pay no income taxes"
"84","84","""When Pakistan erupted in crisis, I spoke to Musharraf before Bush did.""","pakistan erupted crisis spoke musharraf bush joe biden Pakistan erupted crisis I spoke Musharraf Bush did None"
"85","85","""I'm prolife. I'm not going to apologize for becoming prolife. Ronald Reagan followed that same course, as did Henry Hyde and George Herbert Walker Bush. And I'm proud to be prolife.""","prolife going apologize becoming prolife ronald reagan followed course henry hyde george herbert walker bush proud prolife mitt romney I 'm prolife I 'm not going to prolife Ronald Reagan followed that same course Henry Hyde did None I 'm proud"
"86","86","Says he has ""the most impressive education record"" of the Republican candidates.","says impressive education record republican candidates mike huckabee Mike Huckabee Says ""the most impressive education record he has ""the most impressive education record"
"87","87","""We reduced abortion. We increased adoptions by 135 percent.""","reduced abortion increased adoptions percent rudy giuliani We reduced abortion We increased adoptions"
"88","88","""George Bush ... used a signing statement (on a FEMA bill) to say, 'I don't have to follow that, unless I choose to.' ""","george bush ... used signing statement fema bill say n't follow unless choose hillary clinton Hillary Clinton used a signing statement I have to follow that I choose to None"
"89","89","""I just talked about guns. I told you what my position was, and what I did as governor, the fact that I received the endorsement of the NRA.""","talked guns told position governor fact received endorsement nra mitt romney Mitt Romney just talked guns I just talked guns I told you my position was what I did what I received the endorsement"
"90","90","Huckabee ""granted 1,033 pardons and commutations . . . more clemencies than the previous three governors combined.""","huckabee granted 1,033 pardons commutations clemencies previous three governors combined mitt romney Mitt Romney Huckabee granted 1,033 pardons the previous three governors combined None"
"91","91","""I can't sign money. That's illegal.""","n't sign money illegal hillary clinton Hillary Clinton can't sign money I can't sign money That 's illegal"
"92","92","Romney refused to pardon ""a decorated soldier"" returning from Iraq who had been charged with a crime involving a BB gun when he was 13.","romney refused pardon decorated soldier returning iraq charged crime involving gun mike huckabee Mike Huckabee Romney refused to pardon a decorated soldier who had been charged a crime he was 13"
"93","93","In the Illinois Legislature, Barack Obama ""voted 'present,' instead of yes or no"" on seven votes involving abortion rights.","illinois legislature barack obama voted 'present instead yes seven votes involving abortion rights hillary clinton Barack Obama voted present"
"94","94","""I have 35 years' experience making change.""","years experience making change hillary clinton I have 35 years' experience making change"
"95","95","The Mormon religion has ""a plan that will see the Constitution thrown out and replaced by a theocracy.""","mormon religion plan see constitution thrown replaced theocracy freedom defense advocates Freedom Defense Advocates None The Mormon religion has a plan that will see a theocracy the Constitution thrown a theocracy by replaced a theocracy"
"96","96","""Sen. McCain says it was not a mistake to vote against the Bush tax cuts ... but now says the tax cuts need to be made permanent.""","sen. mccain says mistake vote bush tax cuts ... says tax cuts need made permanent mitt romney Mitt Romney ""Sen. McCain says a mistake it was a mistake the tax cuts need to permanent"
"97","97","Biden was responsible for ""ending genocide in Bosnia.""","biden responsible ending genocide bosnia joe biden Joe Biden Biden was responsible"
"98","98","""McCain opposes repeal of the death tax.""","mccain opposes repeal death tax mitt romney Mitt Romney ""McCain opposes repeal"
"99","99","""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""","... tax increases either court-ordered voted people approved people things roads mike huckabee some were ordered they were voted the people by were voted the people by approved the people"
