"","id","original","processed"
"0","0","The economic impact of Atlanta's 2000 Super Bowl was $292 million.","the economic impact atlanta super bowl million atlanta sports council"
"1","1","Swabbing ticks with liquid soap is a recommended and effective method for removing them.","swabbing ticks liquid soap recommended effective method removing"
"2","2","""Senator McCain voted against the Bush tax cuts. Now he's for them.""","senator mccain voted bush tax cuts now mitt romney"
"3","3","""(McCain) said he was opposed to overturning Roe v. Wade. Now he's for overturning Roe v. Wade.""","mccain said opposed overturning roe wade now overturning roe wade mitt romney"
"4","4","""When I was mayor of New York City, I encouraged adoptions. Adoptions went up 65-70 percent. Abortions went down 16 percent.""","when mayor new york city encouraged adoptions adoptions went 65-70 percent abortions went percent rudy giuliani"
"5","5","English ""is our national language...if it becomes official, that means in a place like New York City you can't print ballots in any other language.""","english national language ... becomes official means place like new york city n't print ballots language hillary clinton"
"6","6","""I'm for a three-state political solution in Iraq. (Romney) is not.""","three-state political solution iraq romney sam brownback"
"7","7","""In 1972, we had a 179,000 human beings in jail in this country. Today, it's 2.3-million, and 70 percent of them are black, African-American.""","179,000 human beings jail country today 2.3-million percent black african-american mike gravel"
"8","8","""The $2.3-billion budget deficit I inherited when I came into office became a $2.9-billion surplus.""","the 2.3-billion budget deficit inherited came office became 2.9-billion surplus rudy giuliani"
"9","9","""The president is brain-dead.""","the president brain-dead joe biden"
"10","10","""At least Obama didn't marry his cousin,"" as Giuliani did.","least obama n't marry cousin giuliani obama girl"
"11","11","Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.","hillary clinton setting deadline withdrawal wants precipitous withdrawal regardless conditions ground consequences defeat united states rnc radio republican national committee"
"12","12","""In state after state, polls make clear that the American public understands the Kelo ruling is a disaster.""","state state polls make clear american public understands kelo ruling disaster john mccain"
"13","13","""... study after study has shown that the death penalty deters murders.""","... study study shown death penalty deters murders fred thompson"
"14","14","""He's leading by example, refusing contributions from PACs and Washington lobbyists.""","leading example refusing contributions pacs washington lobbyists barack obama"
"15","15","We live in ""a time of historically low violent crime rates and historically high gun ownership rates nationally.""","live time historically low violent crime rates historically high gun ownership rates nationally fred thompson"
"16","16","""I'm pro-life. He's not.""","pro-life sam brownback"
"17","17","Sen. Clinton said ""the surge of troops in Iraq was 'working.' Now.... Sen. Clinton says the surge 'has failed' and that we should 'begin the immediate withdrawal of U.S. troops.'""","sen. clinton said surge troops iraq 'working now ... sen. clinton says surge 'has failed 'begin immediate withdrawal u.s troops john mccain"
"18","18","Poor people go to a ""payday lender...and they pay 300, 400, 500 percent interest.""","poor people payday lender ... pay percent interest john edwards"
"19","19","In countries that allow gay marriage, the rates of heterosexual marriage ""have plummeted to where you have counties now in northern Europe where 80 percent of the first-born children are born out of wedlock.""","countries allow gay marriage rates heterosexual marriage plummeted counties northern europe percent first-born children born wedlock sam brownback"
"20","20","""Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance.""","bill richardson passed first law nation giving national guard soldiers 400,000 life insurance bill richardson"
"21","21","""The Alternative Minimum Tax...was created by Congress in 1969 to affect 155 wealthy Americans. Because it was never indexed for inflation, those original 155 taxpayers has increased to affect about 3.5-million in 2006.""","the alternative minimum tax ... created congress affect wealthy americans because never indexed inflation original taxpayers increased affect 3.5-million rudy giuliani"
"22","22","""During his tenure in Washington and in the Illinois State Senate, Barack Obama has accumulated a record of bipartisan success.""","during tenure washington illinois state senate barack obama accumulated record bipartisan success barack obama"
"23","23","""I've cast a couple of 99-1 votes"" and been the lone dissenter.","'ve cast couple 99-1 votes lone dissenter fred thompson"
"24","24","""Joe Biden is the only candidate with a plan to get us out of Iraq and keep us out.""","joe biden candidate plan get iraq keep joe biden"
"25","25","""I don't think that Rudy or Fred or John McCain support the marriage amendment.""","n't think rudy fred john mccain support marriage amendment mitt romney"
